component_id,batch_id,prop__aktivnyi_azot_kislorod_pct_mass_n_ili_o,prop__anilinovaya_tochka,prop__atomnoe_otnoshenie_p_zn,prop__coc_c,prop__deaeratsiya_astm_d3427_min,prop__deem_emulsiya_astm_d1401_ml,prop__deem_maslo_astm_d1401_ml,prop__deem_voda_astm_d1401_ml,prop__deem_vremya_astm_d1401_min,prop__dinamicheskaya_vyazkost_ccs_15_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_20_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_25_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_30_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_35_c_astm_d5293_mpa_s,prop__dipolnyi_moment_d,prop__dlina_uglerodnoi_tsepi,prop__energiya_dissotsiatsii_svyazi_h_n_kkal_mol,prop__energiya_nsmo_ev,prop__energiya_vzmo_ev,prop__gruppa_po_api,prop__himicheskii_potentsial_dzh_mol,prop__indeks_polidispersnosti,prop__indeks_stabilnosti_pct,prop__indeks_vyazkosti_gost_25371,prop__indeks_vyazkosti_gost_25371_2,prop__isparyaemost_po_noack_astm_d5800_pct,prop__isparyaemost_po_noack_astm_d5800_pct_mass,prop__kinematicheskaya_vyazkost,prop__kinematicheskaya_vyazkost_pri_100_c_astm_d445_mm2_s,prop__kinematicheskaya_vyazkost_pri_300s_astm_d445_mm2_s,prop__kinematicheskaya_vyazkost_pri_40_c_astm_d445_mm2_s,prop__kislotnoe_chislo_gost_11362_mg_koh_g,prop__massa_gidrofobnogo_hvosta_g_mol,prop__massovaya_dolya_fosfora_astm_d6481_pct_mass,prop__massovaya_dolya_fosfora_astm_d6481_pct_mass_2,prop__massovaya_dolya_kaltsiya_astm_d6481_pct_mass,prop__massovaya_dolya_kaltsiya_astm_d6481_pct_mass_2,prop__massovaya_dolya_sery_astm_d6481_pct_mass,prop__massovaya_dolya_sery_astm_d6481_pct_mass_2,prop__massovaya_dolya_sulfatnoi_zoly_gost_12417_pct,prop__massovaya_dolya_tsinka_astm_d6481_pct_mass,prop__massovaya_dolya_tsinka_astm_d6481_pct_mass_2,prop__obschee_soderzhanie_azota_astm_d3228_pct,prop__opredelenie_soderzhaniya_vody_metodom_karla_fishera_astm_d_6304_ppm,prop__otnoshenie_mylo_osnovanie,prop__otnoshenie_s_mo,prop__pct_mass_mo,prop__plotnost_pri_15_s_astm_d4052_g_sm3,prop__plotnost_pri_15_s_astm_d4052_kg_m3,prop__plotnost_pri_20_s_astm_d4052_kg_m3,prop__posledovatelnost_1_astm_d892_sm3,prop__posledovatelnost_2_astm_d892_sm3,prop__posledovatelnost_3_astm_d892_sm3,prop__potentsial_ionizatsii_ev,prop__razmer_mitsell_nm,prop__schelochnoe_chislo_astm_d2896_mg_koh_g,prop__schelochnoe_chislo_gost_11362_mg_koh_g,prop__soderzhanie_azota,prop__soderzhanie_bora,prop__soderzhanie_masla,prop__soderzhanie_masla_pct_mass,prop__soderzhanie_metalla_ca_mg_pct_mass,prop__soderzhanie_mgco3_caco3_pct_mass,prop__soderzhanie_myla_pct_mass,prop__soderzhanie_polimera,prop__soderzhanie_sery_mg_kg,prop__soderzhanie_sery_pct_mass,prop__soderzhanie_vody_pct_mass,prop__sootnoshenie_monomerov_eo_po,prop__srednevesovaya_massa,prop__stepen_polisulfidnosti,prop__stericheskii_faktor_a3,prop__temperatura_plavleniya_c,prop__temperatura_provedeniya_testa_c,prop__temperatura_zastyvaniya_gost_20287_metod_b_c,prop__tsvet_astm_d1500_ed,prop__tsvet_seibolt_ed
Депрессорная_присадка_2,п.14 (2023г),,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0,,3299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_2,п.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_2,п.60 от 12.01.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,3105.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_3,0246.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.83,,846.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Депрессорная_присадка_3,28446.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Детергент_1,01558.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.51,,,,,,,,,,,,,,,,,,,328.2,,,,,,,,,,,,,,,,,,,,,
Детергент_1,0174.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.5,,,11.2,,,,,11.2,,,,,,,,,,,,,,,,,,,405.8,,,,,,,,,,,,,,,,,,,,,
Детергент_1,0269.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.33,,,,,,,,15.13,,1.598,,,,,,,,,,,,,,,,,344.1,,,,,,,,,,,,,,,,,,,,,
Детергент_1,03052.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.71,,,,,,,,,,,,,,,,,,,377.7,,,,,,,,,,,,,,,,,,,,,
Детергент_1,03203.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.91,,,,,,,,16.24,,,,,,,,,,,,,,,,,,,404.0,,,,,,,,,,,,,,,,,,,,,
Детергент_1,0432.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.76,,,,,,,,,,,,,,,,,,,410.9,,,,,,,,,,,,,,,,,,,,,
Детергент_1,33444.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.92,,,,,,,,15.39,,,,,,,,,,,,,,,,,,,406.34,391.6,,,,,,,,,,,,,,,,,,,,
Детергент_1,из 328 р-р 01295.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,0.0006,,16.29,,,,,0.0007,,,,,,,,,,,,,,407.0,,,,,,,,,,,,,,,,,,,,,
Детергент_10,0688.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.07,,,,,,,,6.301,,0.519,,,,,31591.0,,,,,,,,,,,,158.2,163.6,,,,,,,,,,,,,,,,,,,,
Детергент_12,8476.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.46,,,,,,,,16.3,,1.56,,,,,,,,,,,,,,,,,434.4,,,,,,,,,,,,,,,,,,,,,
Детергент_13,бочка 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.0,,,,,,,,,,,,,,,,,,,,
Детергент_17,03133.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,0.0015,,6.59,,,,,0.0005,,,,,,,,,,,,,,173.6,,,,,,,,,,,,,,,,,,,,,
Детергент_18,01637.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.18,,,,,0.0002,,5.88,,,,,0.0002,,,,,,,,,,,,,,,150.4,,,,,,,,,,,,,,,,,,,,,
Детергент_19,03134.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.82,,,,,,0.002,,9.91,,,,,0.00012,,,,,,,,,,,,,,253.1,,,,,,,,,,,,,,,,,,,,,
Детергент_2,01297.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47,,,,,,0.0004,,6.48,,,,,0.0002,,,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,,,,,,
Детергент_2,02957.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.62,,,,,,,,6.33,,,,,,,,,,,,,,,,,,,173.3,,,,,,,,,,,,,,,,,,,,,
Детергент_20,03007.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.7,,,,,,0.002,,8.63,,2.79,,,0.003,,,,,,,,,,,,,,240.3,,,,,,,,,,,,,,,,,,,,,
Детергент_22,03009.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.8,,,,,,0.0008,,11.43,,0.097,,,0.0014,,,,,,,,,,,,,,324.2,,,,,,,,,,,,,,,,,,,,,
Детергент_3,01714.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.3,,,,,,,,,,,,,,,,,,,,,
Детергент_3,48670.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.76,,,,,,,,5.66,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Детергент_4,02585.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.58,,,,,,0.005,,6.18,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Детергент_4,02623.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,0.9,,4.72,,2.5,,,0.88,,,,,,,,,,,,,,149.6,151.3,,,,,,,,,,,,,,,,,,,,
Детергент_4,02849.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.66,,,,,,0.95,,5.392,,2.378,,,1.114,,,,,,,,,,,,,,151.3,148.6,,,,,,,,,,,,,,,,,,,,
Детергент_4,0338.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68,,,,,,,,6.144,,,,,0.0064,,,,,,,,,,,,,,168.0,,,,,,,,,,,,,,,,,,,,,
Детергент_4,14558.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888,,5.48,,,,,1.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Детергент_4,__missing_batch__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.64,,,,,,0.0067,,6.34,,0.496,,,0.0031,,,,,,,,,,,,,,,172.08,,,,,,,,,,,,,,,,,,,,
Детергент_6,01066.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.6,,,,,,0.0006,,10.13,,3.154,,,0.0001,,,,,,,,,,,,,,315.1,,,,,,,,,,,,,,,,,,,,,
Детергент_6,02034.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.7,,,,,,0.0012,,10.33,,2.81,,,0.001,,,,,,,,,,,,,,272.7,,,,,,,,,,,,,,,,,,,,,
Детергент_6,02657.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.9,,,,,,0.0006,,10.59,,0.326,,,0.0005,,,,,,,,,,,,,,269.4,272.8,,,,,,,,,,,,,,,,,,,,
Детергент_6,03340.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.9,,,,,,,,10.14,,,,,,,,,,,,,,,,,,,276.1,,,,,,,,,,,,,,,,,,,,,
Детергент_7,03229.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.873,,2.484,,,,,0.0344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Детергент_7,синтетический,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Детергент_9,0241.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96,,,,,,,,6.77,,0.165,,,,,28438.0,,,,,,,,,,,,171.7,161.2,,,,,,,,,,,,,,,,,,,,
Дисперсант_1,03067.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7,,,,,,0.002,,0.002,,,,,0.003,,,,,,,,,,,,,,40.9,,,,,,,,,,,,,,,,,,,,,
Дисперсант_1,36524.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дисперсант_10,01930.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.96,,,,,,,,,,,,,,,,,,,,,
Дисперсант_11,02688.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.0,,,6.508,,,,,,,,,,,1.491,,,,,,,,,,,,,31.017,20.83,,,,,,,,,,,,,,,,,,,7.7,
Дисперсант_12,02689.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,5.45,,,,,,,,,,,1.644,,,,,,,,,,,,,31.278,22.26,,,,,,,,,,,,,,,,,,,6.9,
Дисперсант_13,02690.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.0,,,6.174,,,,,,,,,,,1.664,,,,,,,,,,,,,31.885,20.56,,,,,,,,,,,,,,,,,,,7.8,
Дисперсант_2,01025.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.9,,,,,,0.0007,,0.0009,,0.0027,,,0.0002,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,
Дисперсант_3,01030.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.1,,,,,,0.002,,0.002,,0.048,,,0.0001,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,
Дисперсант_3,П-23-035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.45,,,,,,0.0045,,0.0001,,0.049,,,0.0001,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,
Дисперсант_4,0139.25 ол12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.8,,,1.031,,,,,,,,,,,,,,,,,,,,,,,,54.43,36.23,,,,,,,,,,,,,,,,,,,3.0,
Дисперсант_4,08.07.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дисперсант_6,077.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.0,,,0.571,,,,,,,,,,,,,,,,,,,,,,,,22.7,16.7,,,,,,,,,,,,,,,,,,,4.5,
Дисперсант_6,отбор 26.11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.6,,,,,,,,,,,,,,,,,,,,,,,,,,,26.14,,,,,,,,,,,,,,,,,,,,,
Дисперсант_9,02718.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,"01007.22 (8,2%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,01076.24 10% в HVI-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.5,,,,,,,,,,,,,,,,,,,,844.7,841.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,01277.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,"01935.22 (8,2%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,02560.22 (9%вSN-150),,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,"0306.25 9,8% 2гр",,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,03377.23 10% в HVI-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,"0396.25 9,8% 2 гр",,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,0420.23 (10%HVI-4Ян),,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,"0435.24 9,8% во 2 гр",,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_1,0488.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_2,071.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_2,0773.22 (8.5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_3,"01658.23 8,6% в 2Гр.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_3,"02984.24 8,6% 2 гр",,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загуститель_3,03277.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_1,01296.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16,,,,,,8.4,,0.02,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_1,02958.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.19,,,,,,8.939,,,,16.41,,,9.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_10,02028.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.59,,,,,,9.4,,,,,,,11.1,,,,,,,,,,,,,,,16.08,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_11,0242.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,17.42,,,9.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_17,01077.24 Arkema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85,,,,,8.706,,0.0064,,18.47,,,9.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_17,01078.24 Celanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46,,,,,8.784,,0.007,,18.24,,,8.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_17,02692.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,8.409,,0.003,,16.5,,,9.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_18,01872.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,0.0006,,16.88,,,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_18,02125.25 (№1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.286,,,,,8.594,,0.0001,,17.25,,,8.656,,,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_18,02126.25 (№2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.797,,,,,8.532,,0.0001,,17.03,,,9.262,,,,,,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_2,01026.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75,,,,,,8.13,,0.024,,16.58,,,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_2,0112.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.37,,,,,,8.22,,0.0,,15.95,,,9.65,,,,,,,,,,,,,,19.65,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_2,02622.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.33,,,,,,8.0,,,,16.97,,,9.25,,,,,,,,,,,,,,,14.73,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_20,02976.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.99,,,,,,8.719,,0.001,,15.97,,,9.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_21,01578.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.03,,,,,,8.09,,0.01,,17.682,,,9.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_24,02360.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.81,,,,,,7.7,,0.007,,16.1,,,9.0,,,,,,,,,,,,,,,20.85,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_25,COMP-2024-0018-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62,,,,16.16,,,9.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_26,COMP-2024-0017-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45,,0.0,,16.5,,,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_27,01363.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,8.928,,0.005,,18.99,,,9.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_28,0784.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15,,,,,,8.82,,0.001,,16.46,,,9.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_29,03073.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.94,,,,,,9.32,,0.0004,,17.94,,,10.09,,,,,,,,,,,,,,19.93,14.47,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_5,02975.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.17,,,,,,8.768,,0.0001,,15.99,,,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_7,02359.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.66,,,,,,7.7,,0.006,,,,,9.0,,,,,,,,,,,,,,,19.72,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_8,0186.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.74,,,,,,8.049,,0.001,,,,,9.095,,,,,,,,,,,,,,17.8,,,,,,,,,,,,,,,,,,,,,
Соединение_молибдена_6,01027.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
