fold_index,model_name,target_strategy,n_train,n_valid,fit_time_seconds,best_inner_cv_score,best_params_json,viscosity_scale,oxidation_scale,target_delta_kinematic_viscosity_pct__rmse,target_delta_kinematic_viscosity_pct__mae,target_delta_kinematic_viscosity_pct__r2,target_delta_kinematic_viscosity_pct__nrmse_iqr,target_oxidation_eot_a_per_cm__rmse,target_oxidation_eot_a_per_cm__mae,target_oxidation_eot_a_per_cm__r2,target_oxidation_eot_a_per_cm__nrmse_iqr,combined_score,combined_r2_mean
1,ridge_multioutput,raw,133,34,0.36217500001657754,1.732651418104682,"{""model__estimator__alpha"": 0.3, ""reduce_dim"": ""PCA(n_components=0.95, svd_solver='full')""}",44.9,59.68000000000001,265.069342337253,104.73079498014746,0.2900893435567814,5.903548827110312,28.594098788710173,22.078954755602716,0.3702490997207618,0.4791236392210149,3.1913362331656634,0.3301692216387716
1,pls_regression,raw,133,34,0.2353401670116,1.7040543099884176,"{""model__n_components"": 4}",44.9,59.68000000000001,258.6338378500835,103.62384729886968,0.3241421180904268,5.7602191057925065,31.50973624384012,23.895975170182645,0.2352746159964848,0.5279781542198411,3.144098630006174,0.2797083670434558
1,multitask_elasticnet,raw,133,34,5.892064374987967,1.4671385616572108,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.2, ""reduce_dim"": ""passthrough""}",44.9,59.68000000000001,251.76149385554916,94.22103751870705,0.35958232736289797,5.607160219499981,23.81682700396001,18.925136222646007,0.563098259576193,0.39907551950335135,3.0031178695016663,0.46134029346954547
1,ridge_multioutput,viscosity_asinh,133,34,0.2841132499743253,15.778612486994694,"{""model__estimator__alpha"": 30.0, ""reduce_dim"": ""passthrough""}",44.9,59.68000000000001,267.97387826139135,111.18354447659391,0.274446205762755,5.968237823193571,22.27374361788231,17.231261136633986,0.6178776822380281,0.37321956464280004,3.1707286939181856,0.44616194400039155
1,pls_regression,viscosity_asinh,133,34,0.23214649996953085,7.309894046555162,"{""model__n_components"": 8}",44.9,59.68000000000001,304.7620154511137,95.8254767330296,0.06156030810517443,6.787572727196297,22.94431477345485,17.937007708929574,0.5945230652534079,0.38445567649890827,3.5860142018476027,0.3280416866792912
1,multitask_elasticnet,viscosity_asinh,133,34,2.232470834045671,1.9350414820271389,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.8, ""reduce_dim"": ""passthrough""}",44.9,59.68000000000001,285.7038072605588,89.72376913298075,0.17526058596318006,6.363113747451198,23.805084015483743,19.194311739899387,0.5635289859098729,0.3988787536106525,3.3809962505309255,0.36939478593652647
2,ridge_multioutput,raw,133,34,0.32520254101837054,3.3352599853425855,"{""model__estimator__alpha"": 30.0, ""reduce_dim"": ""PCA(n_components=0.95, svd_solver='full')""}",50.16,60.730000000000004,123.01899360171501,70.99085716283071,-0.4538495990836813,2.452531770369119,26.174545170531367,19.509409837726846,0.311312383701973,0.4309986031702843,1.4417651867697017,-0.07126860769085414
2,pls_regression,raw,133,34,0.19411174999549985,1.9598042873286075,"{""model__n_components"": 4}",50.16,60.730000000000004,123.48998871444412,74.27048943840121,-0.46500343601614147,2.461921625088599,31.32353418411226,25.67617336174206,0.013708023831670246,0.5157835367052899,1.4888525808969444,-0.2256477060922356
2,multitask_elasticnet,raw,133,34,9.647982791997492,1.909071555536394,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.8, ""reduce_dim"": ""passthrough""}",50.16,60.730000000000004,124.86476806087619,82.08795634131528,-0.49780394802100303,2.4893295067957775,21.91258641243641,17.32458975691637,0.5173289294044757,0.3608197993156004,1.425074653055689,0.009762490691736347
2,ridge_multioutput,viscosity_asinh,133,34,0.2912607499747537,6.737466173772696,"{""model__estimator__alpha"": 10.0, ""reduce_dim"": ""PCA(n_components=0.95, svd_solver='full')""}",50.16,60.730000000000004,112.57523439332009,42.87200316946347,-0.21747726826936553,2.2443228547312617,26.321444299269384,19.72118279876659,0.30356046280990223,0.4334174921664644,1.338870173448863,0.04304159727026835
2,pls_regression,viscosity_asinh,133,34,0.24436220800271258,6.944092643932657,"{""model__n_components"": 4}",50.16,60.730000000000004,101.21882270626647,43.32602101938112,0.015767493013577383,2.017919112963845,25.659513312865435,19.810204472902228,0.3381481063097044,0.42251792051482684,1.2202185167393358,0.17695779966164088
2,multitask_elasticnet,viscosity_asinh,133,34,2.354366957966704,1.9040788322466422,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.2, ""reduce_dim"": ""passthrough""}",50.16,60.730000000000004,98.0215636777549,38.01778677064042,0.07696452210155202,1.9541779042614613,23.405847365284025,17.704916995018802,0.44930298384423817,0.38540832150969906,1.1697931128855803,0.2631337529728951
3,ridge_multioutput,raw,134,33,0.30446583399316296,6.585605876642538,"{""model__estimator__alpha"": 30.0, ""reduce_dim"": ""PCA(n_components=0.95, svd_solver='full')""}",49.4375,61.785000000000004,47.508160477225616,36.35153163592034,-0.8044773590031831,0.9609741689451452,21.146952123199807,17.619347727545392,0.6197531353883604,0.3422667657716243,0.6516204673583847,-0.09236211180741133
3,pls_regression,raw,134,33,0.1894747079932131,2.136056472662228,"{""model__n_components"": 2}",49.4375,61.785000000000004,53.97874292928331,40.94759063319141,-1.329488337119764,1.0918582640562995,35.0018426949893,29.06491531858023,-0.04172214122090234,0.5665103616571869,0.8291843128567432,-0.6856052391703332
3,multitask_elasticnet,raw,134,33,7.350122208998073,11.941835882284744,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.2, ""reduce_dim"": ""passthrough""}",49.4375,61.785000000000004,66.83244125374257,49.62056731822007,-2.570998422208325,1.3518572187861961,18.403185981221245,13.235146632888855,0.7120241241690877,0.2978584766726753,0.8248578477294357,-0.9294871490196187
3,ridge_multioutput,viscosity_asinh,134,33,0.28398383397143334,8.134596780117489,"{""model__estimator__alpha"": 30.0, ""reduce_dim"": ""passthrough""}",49.4375,61.785000000000004,90.85797091712583,37.898568765984116,-5.599956530146784,1.8378350627990054,20.492135187157476,13.855354639047306,0.6429372856344476,0.3316684500632431,1.0847517564311242,-2.478509622256168
3,pls_regression,viscosity_asinh,134,33,0.2244067499996163,2.854791000055274,"{""model__n_components"": 8}",49.4375,61.785000000000004,36.90070537511109,26.311497793233297,-0.08864014054653357,0.7464112338834101,22.99625328717621,15.883491492847343,0.5503400120672156,0.3721979976883743,0.5593046157858922,0.23084993576034102
3,multitask_elasticnet,viscosity_asinh,134,33,2.6542870000121184,1.9258994752033918,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.8, ""reduce_dim"": ""passthrough""}",49.4375,61.785000000000004,79.09880671315761,34.98331291008316,-4.00212881171143,1.5999758627187382,20.210880087276678,14.645704180326943,0.6526714139443498,0.3271162917743251,0.9635460772465316,-1.6747286988835404
4,ridge_multioutput,raw,134,33,0.34861299995100126,2.2399317953554765,"{""model__estimator__alpha"": 0.3, ""reduce_dim"": ""PCA(n_components=0.95, svd_solver='full')""}",49.46,60.2125,162.83138384732916,100.8684167964803,0.4028703637957973,3.292183256112599,29.54873805116948,24.002990589846657,0.475409088412182,0.49074092673729675,1.891462091424948,0.43913972610398966
4,pls_regression,raw,134,33,0.20513700001174584,1.976705547424859,"{""model__n_components"": 2}",49.46,60.2125,160.6094946485399,96.59428351962009,0.4190552520137698,3.247260304256771,37.02808326239041,30.50452754347386,0.1762311804877955,0.6149567492196871,1.931108526738229,0.29764321625078266
4,multitask_elasticnet,raw,134,33,6.27996291697491,1.885903204091627,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.8, ""reduce_dim"": ""passthrough""}",49.46,60.2125,153.6024727724815,102.03086091014059,0.4686400552300185,3.10558982556574,23.227202622716103,18.542533227930537,0.6758569582296181,0.3857538322228126,1.7456718288942763,0.5722485067298183
4,ridge_multioutput,viscosity_asinh,134,33,0.32890887500252575,7.262724638513916,"{""model__estimator__alpha"": 10.0, ""reduce_dim"": ""PCA(n_components=0.95, svd_solver='full')""}",49.46,60.2125,185.5415433271062,85.19277360578675,0.2246911737985382,3.751345396827865,29.47258092219162,23.868670267361914,0.4781097014512533,0.48947612077544733,2.1204107588016563,0.35140043762489576
4,pls_regression,viscosity_asinh,134,33,0.20641220803372562,7.42598894640987,"{""model__n_components"": 4}",49.46,60.2125,223.25155050346538,104.54657431023328,-0.12248711949686997,4.513779832257691,26.835035773549073,22.422564814076228,0.5673395044678398,0.44567217394310277,2.4797260031003967,0.2224261924854849
4,multitask_elasticnet,viscosity_asinh,134,33,2.1936525410274044,1.798902560681438,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.8, ""reduce_dim"": ""passthrough""}",49.46,60.2125,176.75604245828006,68.76693842671226,0.29637552596060746,3.5737169926866166,23.691364908163127,18.629368790984607,0.662772447723144,0.3934625685391427,1.9835897806128797,0.47957398684187574
5,ridge_multioutput,raw,134,33,0.30829845898551866,2.015523295058325,"{""model__estimator__alpha"": 30.0, ""reduce_dim"": ""PCA(n_components=0.95, svd_solver='full')""}",47.155,60.067499999999995,724.9819230436048,215.58272926178338,-15.909854097514163,15.374444344048452,237.44441139934952,58.155115977255214,-42.02690953691835,3.9529597769068054,9.663702060477629,-28.968381817216258
5,pls_regression,raw,134,33,0.22097429097630084,2.059456746805466,"{""model__n_components"": 2}",47.155,60.067499999999995,158.00372093013155,95.80898496551771,0.19680659504876974,3.3507310132569517,37.88151204354461,29.682442745394805,-0.09514307179329151,0.6306490538734693,1.9906900335652105,0.050831761627739114
5,multitask_elasticnet,raw,134,33,8.335721749986988,1.9299130982066137,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.2, ""reduce_dim"": ""passthrough""}",47.155,60.067499999999995,1252.2509767934891,301.3595762526007,-49.45082389611608,26.556059310645512,62.223545842201446,26.949331688868856,-1.9547841508120798,1.0358937169384683,13.79597651379199,-25.70280402346408
5,ridge_multioutput,viscosity_asinh,134,33,0.28661345795262605,2.8416596727905934,"{""model__estimator__alpha"": 30.0, ""reduce_dim"": ""passthrough""}",47.155,60.067499999999995,1930.5718072362058,400.09530700590625,-118.91055807186365,40.940977780430615,611.8755113936556,124.78237001469262,-284.72115241477144,10.186465416300923,25.563721598365767,-201.81585524331754
5,pls_regression,viscosity_asinh,134,33,0.19386387499980628,2.2012362263486582,"{""model__n_components"": 8}",47.155,60.067499999999995,1916.8867028275038,417.1021693296907,-117.21658085468964,40.65076243934904,97.21835866043263,35.054266985701396,-6.212948279187946,1.6184851818443025,21.13462381059667,-61.71476456693879
5,multitask_elasticnet,viscosity_asinh,134,33,2.3591310419724323,1.893647593362969,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.8, ""reduce_dim"": ""passthrough""}",47.155,60.067499999999995,169.38377381608905,74.23439318268348,0.0769417380374745,3.5920639129697602,21.646241707598424,16.993475918106643,0.6424133834319932,0.36036528418193575,1.976214598575848,0.35967756073473384
